Training started at: 2025-06-12T01:23:54.419160
Configuration: epochs=30, batch_size=512, lr=0.0008
Preprocessed data: /data2/xxw_data/projects/LLM/coconut/data/gsm_train_embeddings_optimized_debug.pkl
================================================================================
Step	Epoch	Loss		Learning_Rate	Timestamp
--------------------------------------------------------------------------------
1	1	557.7936		0.000800		01:25:25
2	2	658.4360		0.000800		01:26:49
3	3	544.6504		0.000800		01:28:36
4	4	671.5925		0.000800		01:30:21
5	5	392.0590		0.000800		01:32:10
6	6	284.8837		0.000800		01:33:58
7	7	253.1357		0.000800		01:35:46
8	8	217.1962		0.000800		01:37:33
9	9	255.7192		0.000800		01:39:21
10	10	178.2912		0.000800		01:41:08
11	11	250.0884		0.000800		01:42:55
12	12	288.5175		0.000800		01:44:44
13	13	163.4481		0.000800		01:46:27
14	14	105.7842		0.000800		01:48:17
15	15	102.4185		0.000800		01:49:59
16	16	98.0140		0.000800		01:51:38
17	17	89.5242		0.000800		01:53:25
18	18	110.5585		0.000800		01:54:58
19	19	76.7476		0.000800		01:56:45
20	20	102.7487		0.000800		01:58:31
21	21	103.1785		0.000800		02:00:19
22	22	96.7944		0.000800		02:02:06
23	23	66.8660		0.000800		02:03:46
24	24	64.6418		0.000800		02:05:32
25	25	90.9042		0.000800		02:07:20
26	26	63.1335		0.000800		02:09:10
27	27	60.5029		0.000800		02:10:52
28	28	84.2976		0.000800		02:12:34
29	29	60.1778		0.000800		02:13:57
30	30	82.3830		0.000800		02:15:19
